,Cd_Exercicio,Ds_Funcao,Ds_SubFuncao,Ds_Orgao,ProjetoAtividade,Ds_Projeto_Atividade,Vl_Orcado_Ano,Vl_Orcado_Atualizado,Vl_Liquidado
11,2017,Administração,Administração Geral,Secretaria do Governo Municipal,1598,"Desenvolvimento de Programas e Ações que Gerem Conectividade, Rapidez e Desburocratização do Acesso e do Diálogo com Serviços da Prefeitura, a ser Executada pela Secretaria de Inovação e Tecnologia",300000,0.0,0.0
12,2017,Administração,Administração Geral,Secretaria do Governo Municipal,1989,Reforma e Aquisição de Equipamentos,300000,300000.0,0.0
30,2017,Administração,Administração Geral,Secretaria do Governo Municipal,2185,Auxílio Financeiro para a Secretaria do Governo Municipal na Execução de suas Atribuições,300000,300000.0,0.0
40,2017,Cultura,Turismo,Secretaria do Governo Municipal,1349,Projetos de Fomento à Cultura na Cidade de São Paulo,900000,125000.0,0.0
41,2017,Cultura,Turismo,Secretaria do Governo Municipal,1351,"Contratação de Serviços e Equipamentos para Realização de Eventos (Palco, Iluminação, etc)",500000,500000.0,0.0
47,2017,Comércio e Serviços,Turismo,Secretaria do Governo Municipal,1427,Realização de Eventos Externos e Locação de Espaços - SPTURIS,1500000,0.0,0.0
56,2017,Cultura,Turismo,Secretaria do Governo Municipal,1592,Despesas de Exercícios Anteriores - Processo PMSP nº 2005-0.181.376-0,3055163,3055163.0,0.0
72,2017,Administração,Administração Geral,SECRETARIA MUNICIPAL DAS PREFEITURAS REGIONAIS,3002,"Implantação e Requalificação de Área Social e Reforma da Quadra Poliesportiva com Implantação de ATI no CDC Caveirinha na Rua Servidão São Marcos, S/N",0,0.0,0.0
84,2017,Urbanismo,Administração Geral,SECRETARIA MUNICIPAL DAS PREFEITURAS REGIONAIS,1599,Programa Direcionado à Prefeitura Regional Abordando Diversos Pontos de Necessidades e Interesses Locais,300000,300000.0,0.0
100,2017,Urbanismo,Infra-Estrutura Urbana,SECRETARIA MUNICIPAL DAS PREFEITURAS REGIONAIS,1450,"Intervenção, Urbanização e Melhoria de Bairros",3000000,2000000.0,0.0
101,2017,Urbanismo,Infra-Estrutura Urbana,SECRETARIA MUNICIPAL DAS PREFEITURAS REGIONAIS,1451,"Intervenção, Urbanização e Melhoriade Bairros - Plano de Obras das Subprefeituras",1900000,203044.35,0.0
102,2017,Urbanismo,Infra-Estrutura Urbana,SECRETARIA MUNICIPAL DAS PREFEITURAS REGIONAIS,1452,Desenvolvimento de Ações de Zeladoria e Manutenção e Aquisição de Equipamentos,500000,250000.0,0.0
103,2017,Urbanismo,Infra-Estrutura Urbana,SECRETARIA MUNICIPAL DAS PREFEITURAS REGIONAIS,1454,"Realização de Obras de Infraestrutura, Pavimentação, Recapeamento, Reforma, Aquisição de Equipamento, Adequação e Readequação: Calçadas, Galerias de Águas Pluviais, Iluminação, Praças e Zeladoria",2950000,1800000.0,0.0
104,2017,Urbanismo,Infra-Estrutura Urbana,SECRETARIA MUNICIPAL DAS PREFEITURAS REGIONAIS,1455,Recursos para Promoção de Ações - Prefeituras Regionais-Subprefeituras,900000,0.0,0.0
105,2017,Urbanismo,Infra-Estrutura Urbana,SECRETARIA MUNICIPAL DAS PREFEITURAS REGIONAIS,1456,Recursos para Serviços e Obras Pertinentes às Subprefeituras,1900000,1345000.0,0.0
